latent_dim,gamma,source_label,target_label,mmd_latent,wasserstein_distance_latent,mmd_image,classifier_confidence_image,entropy,running_time,iter_count
2,0.001,0,1,0.1832009255886078,0.5174411969727818,0.13163479,0.99999726,10.738198,2.643953957944177,1709
2,0.001,0,2,0.03602918982505798,0.6204960679451059,0.0997244,0.9112463,10.429645,5.502823249902576,4479
2,0.001,0,3,0.015122649259865284,0.1529691723820565,0.047054645,0.736412,10.783551,9.799566500005312,6013
2,0.001,0,4,0.10050924867391586,0.33700586267492927,0.22745739,0.3592963,10.423777,8.227750791003928,6757
2,0.001,0,5,0.04473112151026726,0.16130056006723628,0.1420118,0.5365373,10.494817,10.047402000054717,9999
2,0.001,0,6,0.06798192858695984,0.4245518445246529,0.39965078,0.98853225,9.992245,12.628953624982387,9999
2,0.001,0,7,0.01758859120309353,0.1621007213286258,0.09020063,0.94650984,10.579589,8.7126847920008,6978
2,0.001,0,8,0.06680779904127121,0.14366270729889716,0.118604004,0.58231556,11.188702,7.461918458924629,5747
2,0.001,0,9,0.039898842573165894,0.4200815874691526,0.07073249,0.942821,10.517921,7.727618417004123,6044
2,0.001,1,2,0.024657106027007103,0.4293918901332429,0.12176884,0.9331658,10.252104,12.132779959007166,5793
2,0.001,1,3,0.03542992100119591,0.2414333726395372,0.089008905,0.7332602,11.212464,9.569877166999504,4033
2,0.001,1,4,0.05638871714472771,0.45815960183622134,0.20755449,0.20165543,10.442809,4.774664083030075,2928
2,0.001,1,5,0.027116158977150917,0.1807625249157879,0.092041515,0.73482794,10.971595,0.851035459083505,839
2,0.001,1,6,0.06961239129304886,0.5390057579199615,0.10834203,0.96877074,10.654739,1.8748592080082744,1303
2,0.001,1,7,0.037138596177101135,0.17022913680829568,0.28446215,0.3465122,10.828409,6.018785916035995,4173
2,0.001,1,8,0.039263080805540085,0.15383103433465126,0.048107717,0.7466428,11.423656,2.670159542001784,2225
2,0.001,1,9,0.027621638029813766,0.36568401393783034,0.07594678,0.706421,10.495425,3.8244227919494733,2707
2,0.001,2,3,0.014279333874583244,0.28450997993205096,0.029938255,0.832222,10.342249,14.741472750087269,9999
2,0.001,2,4,0.026569809764623642,0.30115867359296755,0.07127774,0.77298117,9.885783,8.79839933407493,6754
2,0.001,2,5,0.08119217306375504,0.173535974690958,0.082515664,0.7891128,10.529344,3.061623000074178,3234
2,0.001,2,6,0.24207012355327606,0.5641482988850086,0.10516348,0.9847586,10.583903,1.9680298749590293,1810
2,0.001,2,7,0.051986418664455414,0.1909370576606945,0.087265916,0.7122919,10.710201,2.736136749968864,2014
2,0.001,2,8,0.008255574852228165,0.15818116401594634,0.032177296,0.74572945,10.578224,11.478023707983084,9999
2,0.001,2,9,0.018547631800174713,0.25315409931067673,0.04894714,0.65163535,10.318523,6.195956625044346,4838
2,0.001,3,4,0.015380209311842918,0.2910027360745616,0.053208083,0.58470803,10.103082,6.617921291966923,5819
2,0.001,3,5,0.033289749175310135,0.17036693625163277,0.033625558,0.85603434,10.15936,7.075414540944621,6837
2,0.001,3,6,0.20788906514644623,0.659208930165316,0.112508535,0.98603344,10.749302,7.017889625043608,4686
2,0.001,3,7,0.027157699689269066,0.19764650079664556,0.032669842,0.7928942,10.599542,14.443702457938343,8833
2,0.001,3,8,0.010488919913768768,0.1519724042761532,0.07750967,0.7678453,10.438983,17.27755233400967,9999
2,0.001,3,9,0.02531423605978489,0.3320280254637181,0.05544032,0.5930766,10.495734,17.65320899989456,8463
2,0.001,4,5,0.025279438123106956,0.20367764542189998,0.06382386,0.6503146,10.19486,8.833169874968007,7391
2,0.001,4,6,0.04976063221693039,0.45705435960903135,0.062147256,0.95797783,9.988744,8.05515979102347,5996
2,0.001,4,7,0.013517343439161777,0.22318754051552683,0.02528426,0.9412212,8.985592,13.144593707984313,9999
2,0.001,4,8,0.01235025841742754,0.1267077718683292,0.038804185,0.7197697,10.511788,8.672949333908036,6806
2,0.001,4,9,0.015542803332209587,0.3733935021818078,0.013743989,0.7931444,8.970465,14.039252459071577,9999
2,0.001,5,6,0.2271421253681183,0.5494063188890581,0.092118286,0.9774945,10.555013,4.677830542088486,4371
2,0.001,5,7,0.008488979190587997,0.20314808470318604,0.06620496,0.93361425,10.381682,6.284764625015669,5231
2,0.001,5,8,0.08704853802919388,0.1472254195178888,0.08424859,0.67210555,10.721565,12.095131332986057,9999
2,0.001,5,9,0.1807394176721573,0.3997306948724331,0.14830127,0.76836187,10.456384,6.100091749918647,5478
2,0.001,6,7,0.027381261810660362,0.1680881431300217,0.14246887,0.69161487,10.3065815,9.241775792092085,6645
2,0.001,6,8,0.039658211171627045,0.1791252553586936,0.070394665,0.7833786,11.043325,3.4532335409894586,2423
2,0.001,6,9,0.03851199150085449,0.36032391276158926,0.09670819,0.6257327,9.908631,13.144704999984242,9999
2,0.001,7,8,0.024140698835253716,0.11512560546691492,0.049664225,0.76306367,10.92485,6.260018082917668,4664
2,0.001,7,9,0.047254424542188644,0.441276338395466,0.11794409,0.8620857,9.587935,13.091185832978226,9999
2,0.001,8,9,0.09203138202428818,0.5238095040309536,0.06486706,0.82206947,10.763469,5.855594208929688,4477
2,0.01,0,1,0.27567124366760254,0.6084160225898838,0.15870053,0.99999905,11.862802,0.42098345898557454,314
2,0.01,0,2,0.02942352183163166,0.5256183383424167,0.12944381,0.93257684,11.472565,1.4107805410167202,1107
2,0.01,0,3,0.06681752949953079,0.18093803663801747,0.14703488,0.65378046,11.885994,2.6000406249659136,1937
2,0.01,0,4,0.1305369883775711,0.41044335147700206,0.27847734,0.35434565,11.522199,0.9899792920332402,772
2,0.01,0,5,0.08051680028438568,0.14842374580986695,0.2491249,0.39755112,11.550678,1.4116429589921609,1295
2,0.01,0,6,0.05871209502220154,0.502358387801166,0.35445562,0.9832815,11.095003,1.882478541112505,1615
2,0.01,0,7,0.03548911586403847,0.17331160832682205,0.14358029,0.8087596,11.698382,2.4511783329071477,1721
2,0.01,0,8,0.1355334371328354,0.15601661248657037,0.22379789,0.56680197,12.152895,1.9571180840721354,1500
2,0.01,0,9,0.039229072630405426,0.41519847585153713,0.113320805,0.9264058,11.608835,0.5914555829949677,457
2,0.01,1,2,0.0286006610840559,0.518389769452168,0.1220799,0.921325,11.311412,2.3740578329889104,1670
2,0.01,1,3,0.12125327438116074,0.19655568876023535,0.20936345,0.77084994,12.180457,0.5954561249818653,460
2,0.01,1,4,0.049429330974817276,0.3526474890517252,0.29245275,0.08290296,11.527091,0.3805580419721082,295
2,0.01,1,5,0.0788547620177269,0.1982495067254948,0.1988429,0.53707516,12.016448,0.3732450830284506,326
2,0.01,1,6,0.10900508612394333,0.4982328473459743,0.13697849,0.9696116,11.741024,0.22096029203385115,171
2,0.01,1,7,0.06409084051847458,0.22992562790778218,0.32039896,0.359161,11.917722,0.5439768750220537,392
2,0.01,1,8,0.1737055480480194,0.20945744152133233,0.10476981,0.66186583,12.394923,0.7224325829884037,534
2,0.01,1,9,0.02038809098303318,0.2934693010607721,0.080084704,0.94149846,11.566645,0.47279295907355845,353
2,0.01,2,3,0.009235586039721966,0.1810205344313197,0.074162625,0.7991511,11.343886,1.2343409589957446,964
2,0.01,2,4,0.029318297281861305,0.3348107708041986,0.091152124,0.69330275,11.005862,1.1173275830224156,887
2,0.01,2,5,0.1778009980916977,0.25349488882342625,0.11963115,0.67018497,11.6337185,3.5407329170266166,3363
2,0.01,2,6,0.2791336476802826,0.5962912343211315,0.11072826,0.9895671,11.695956,0.4501887080259621,337
2,0.01,2,7,0.06831023842096329,0.28282503453094743,0.16181852,0.67438185,11.773092,0.72520320804324,505
2,0.01,2,8,0.01182995829731226,0.09169703982380906,0.029748987,0.77933735,11.61824,4.638772708014585,3686
2,0.01,2,9,0.02012775093317032,0.30027792031850503,0.07515022,0.527523,11.359828,1.1547942500328645,848
2,0.01,3,4,0.04644870385527611,0.3525619395034558,0.12232478,0.464757,11.250401,9.195207417011261,7292
2,0.01,3,5,0.09700407832860947,0.23185021752474178,0.05868406,0.79602754,11.247654,1.9873350830748677,1861
2,0.01,3,6,0.3665195107460022,0.7435261777944494,0.16452992,0.986567,11.794668,0.8357229159446433,658
2,0.01,3,7,0.046466611325740814,0.20753260522250241,0.09187074,0.771296,11.725638,2.0509614170296118,1461
2,0.01,3,8,0.008927276358008385,0.2056156541912295,0.07578226,0.75488263,11.345964,3.5101180840283632,2683
2,0.01,3,9,0.03685007989406586,0.3379505142496963,0.16489969,0.43508238,11.62535,1.3023103749146685,904
2,0.01,4,5,0.030530229210853577,0.19739803525493485,0.11840004,0.4497446,11.285052,1.6668113749474287,1511
2,0.01,4,6,0.10506227612495422,0.5202776274816421,0.11664089,0.9816239,11.121909,2.7896473329747096,2170
2,0.01,4,7,0.00782425981014967,0.14705134202309464,0.015638998,0.92570317,10.181938,7.0608391660498455,5142
2,0.01,4,8,0.021214526146650314,0.15858164693609958,0.080521256,0.65856606,11.548104,2.3805015420075506,1656
2,0.01,4,9,0.010559780523180962,0.32869859957144343,0.018710036,0.75308734,10.123472,8.41494645900093,5912
2,0.01,5,6,0.266286164522171,0.6086437611284912,0.11642045,0.98404175,11.607433,0.6941259579034522,589
2,0.01,5,7,0.030354127287864685,0.23164669901990584,0.11622485,0.8237126,11.528114,0.7481300419894978,692
2,0.01,5,8,0.15120439231395721,0.13061119702736654,0.15421425,0.6643033,11.801795,1.056622458039783,1010
2,0.01,5,9,0.177732914686203,0.3996440547164022,0.2524492,0.78938454,11.585495,0.6778590829344466,626
2,0.01,6,7,0.03904737904667854,0.19421592687356307,0.24068087,0.71031404,11.416915,4.0917730000801384,3293
2,0.01,6,8,0.1019543930888176,0.1993098357031734,0.13598514,0.79803556,12.127566,0.616590499994345,480
2,0.01,6,9,0.030908582732081413,0.33925562630642375,0.10298316,0.6709645,11.082114,1.0859902909724042,957
2,0.01,7,8,0.09935503453016281,0.1260354965302353,0.15117675,0.8193108,12.021937,1.1813197090523317,921
2,0.01,7,9,0.01672211103141308,0.3391775282877224,0.05959206,0.8485473,10.660932,3.8278020409634337,2792
2,0.01,8,9,0.16988147795200348,0.5036427105223142,0.14313293,0.6754484,11.801317,1.0772757499944419,840
2,0.1,0,1,0.8851228952407837,0.8888176812982986,0.47122353,0.9999999,12.710851,0.06399004103150219,39
2,0.1,0,2,0.24149686098098755,0.9811207298199563,0.5991502,0.9431402,12.40562,0.25102616695221514,176
2,0.1,0,3,0.943355917930603,0.41217580705996903,0.84138805,0.67053,12.699037,0.27325574995484203,188
2,0.1,0,4,0.2914927899837494,0.5409569940495564,0.4032598,0.31430638,12.4376745,0.22309270792175084,156
2,0.1,0,5,0.22907023131847382,0.1945939461131336,0.43400776,0.39846855,12.456914,0.14227391709573567,112
2,0.1,0,6,0.1190977394580841,0.5818558302548328,0.5111756,0.9836122,12.150742,7.54716674995143,6695
2,0.1,0,7,0.3369741439819336,0.24333088130183111,0.52100277,0.520047,12.625715,0.2655287500238046,192
2,0.1,0,8,0.4841070771217346,0.18328493522572267,0.36198452,0.78305656,12.765137,0.1622322080656886,116
2,0.1,0,9,0.32390791177749634,0.5642295229243516,0.54212236,0.93920135,12.569891,0.23324708302970976,169
2,0.1,1,2,0.04336873069405556,0.5500219601883924,0.21107198,0.932136,12.321542,0.2905641249381006,196
2,0.1,1,3,0.9393671751022339,0.3704262151058037,0.76013255,0.6315323,12.825105,0.1365927909500897,91
